GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
TERMOYOPALG4,2023,Thermal,Nordeste,GASNACIO,.,.,.
TERMOYOPALG4,2026,Thermal,Nordeste,GASNACIO,.,.,.
TERMOYOPALG5,2023,Thermal,Nordeste,GASNACIO,.,.,.
TERMOYOPALG5,2026,Thermal,Nordeste,GASNACIO,.,.,.
URRA,2023,Hidro,Caribe,Water,.,.,.
URRA,2026,Hidro,Caribe,Water,.,.,.
ZIPAEMG2,2023,Thermal,Oriental,CARBON,.,.,.
ZIPAEMG2,2026,Thermal,Oriental,CARBON,.,.,.
ZIPAEMG3,2023,Thermal,Oriental,CARBON,.,.,.
ZIPAEMG3,2026,Thermal,Oriental,CARBON,.,.,.
ZIPAEMG4,2023,Thermal,Oriental,CARBON,.,.,.
ZIPAEMG4,2026,Thermal,Oriental,CARBON,.,.,.
ZIPAEMG5,2023,Thermal,Oriental,CARBON,.,.,.
ZIPAEMG5,2026,Thermal,Oriental,CARBON,.,.,.
E_Wesp01,2023,Eolica,Caribe,Wind,.,.,.
E_Wesp01,2026,Eolica,Caribe,Wind,.,.,.
E_GuajiraI,2023,Eolica,Caribe,Wind,20,.,3.436e+07
E_GuajiraI,2026,Eolica,Caribe,Wind,.,.,.
S_Cabelleros,2023,pv_solar,Surocciden,Solar,.,.,.
S_Cabelleros,2026,pv_solar,Surocciden,Solar,.,.,.
S_Montelibano,2023,pv_solar,Caribe,Solar,.,.,.
S_Montelibano,2026,pv_solar,Caribe,Solar,.,.,.
S_Lanceros,2023,pv_solar,Oriental,Solar,9.1,.,1.20757e+07
S_Lanceros,2026,pv_solar,Oriental,Solar,.,.,.
S_SanFelipe,2023,pv_solar,Oriental,Solar,9.1,.,1.20757e+07
S_SanFelipe,2026,pv_solar,Oriental,Solar,.,.,.
S_Cienaguero,2023,pv_solar,Caribe,Solar,9,.,1.1943e+07
S_Cienaguero,2026,pv_solar,Caribe,Solar,.,.,.
S_Yuma,2023,pv_solar,Oriental,Solar,9.1,.,1.20757e+07
S_Yuma,2026,pv_solar,Oriental,Solar,.,.,.
S_Tucanes,2023,pv_solar,Caribe,Solar,.,.,.
S_Tucanes,2026,pv_solar,Caribe,Solar,.,.,.
S_Paila,2023,pv_solar,Surocciden,Solar,.,.,.
S_Paila,2026,pv_solar,Surocciden,Solar,.,.,.
