GEN_BLD_SUSPEND_YRS_1,GEN_BLD_SUSPEND_YRS_2,GEN_BLD_SUSPEND_YRS_3,SuspendGen
TERMOYOPALG4,2020,2040,0.0
TERMOYOPALG4,2020,2045,0.0
TERMOYOPALG4,2020,2050,0.0
TERMOYOPALG5,2021,2023,0.0
TERMOYOPALG5,2021,2025,0.0
TERMOYOPALG5,2021,2030,0.0
TERMOYOPALG5,2021,2035,0.0
TERMOYOPALG5,2021,2040,0.0
TERMOYOPALG5,2021,2045,0.0
TERMOYOPALG5,2021,2050,0.0
ELTESORITO,2022,2023,0.0
ELTESORITO,2022,2025,0.0
ELTESORITO,2022,2030,0.0
ELTESORITO,2022,2035,0.0
ELTESORITO,2022,2040,0.0
ELTESORITO,2022,2045,0.0
ELTESORITO,2022,2050,0.0
H_RioCali,1925,2023,0.0
H_RioCali,1925,2025,0.0
H_RioCali,1925,2030,0.0
H_RioCali,1925,2035,0.0
H_RioCali,1925,2040,0.0
H_RioCali,1925,2045,0.0
H_RioCali,1925,2050,0.0
H_SanCancio,1929,2023,0.0
H_SanCancio,1929,2025,0.0
H_SanCancio,1929,2030,0.0
H_SanCancio,1929,2035,0.0
H_SanCancio,1929,2040,0.0
H_SanCancio,1929,2045,0.0
H_SanCancio,1929,2050,0.0
H_PaticoCab,1930,2023,0.0
H_PaticoCab,1930,2025,0.0
H_PaticoCab,1930,2030,0.0
H_PaticoCab,1930,2035,0.0
H_PaticoCab,1930,2040,0.0
H_PaticoCab,1930,2045,0.0
H_PaticoCab,1930,2050,0.0
H_Asnazu,1934,2023,0.0
H_Asnazu,1934,2025,0.0
H_Asnazu,1934,2030,0.0
H_Asnazu,1934,2035,0.0
H_Asnazu,1934,2040,0.0
H_Asnazu,1934,2045,0.0
H_Asnazu,1934,2050,0.0
H_Caracoli,2023,2023,0.0
H_Caracoli,2023,2025,0.0
H_Caracoli,2023,2030,0.0
H_Caracoli,2023,2035,0.0
H_Caracoli,2023,2040,0.0
H_Caracoli,2023,2045,0.0
H_Caracoli,2023,2050,0.0
H_ElBosque,1935,2023,0.0
H_ElBosque,1935,2025,0.0
H_ElBosque,1935,2030,0.0
H_ElBosque,1935,2035,0.0
H_ElBosque,1935,2040,0.0
H_ElBosque,1935,2045,0.0
H_ElBosque,1935,2050,0.0
H_Municipal,1935,2023,0.0
H_Municipal,1935,2025,0.0
H_Municipal,1935,2030,0.0
H_Municipal,1935,2035,0.0
H_Municipal,1935,2040,0.0
H_Municipal,1935,2045,0.0
H_Municipal,1935,2050,0.0
H_Union,1935,2023,0.0
H_Union,1935,2025,0.0
H_Union,1935,2030,0.0
H_Union,1935,2035,0.0
