GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
H_AutGold,2026,Hidro,Antioquia,Water,1,0,.,277470,43780
H_VentanaA,2023,Hidro,Surocciden,Water,2.5,0,.,693675,109450
H_VentanaA,2026,Hidro,Surocciden,Water,2.5,0,.,693675,109450
H_VentanaB,2023,Hidro,Surocciden,Water,2.5,0,.,693675,109450
H_VentanaB,2026,Hidro,Surocciden,Water,2.5,0,.,693675,109450
H_Violetas,2023,Hidro,Antioquia,Water,0.95,0,.,263597,41591
H_Violetas,2026,Hidro,Antioquia,Water,0.95,0,.,263597,41591
H_Zeus,2023,Hidro,Antioquia,Water,9.9,0,.,2.74695e+06,433422
H_Zeus,2026,Hidro,Antioquia,Water,9.9,0,.,2.74695e+06,433422
INSULA,2023,Hidro,Surocciden,Water,19,0,.,2.25549e+06,831820
INSULA,2026,Hidro,Surocciden,Water,19,0,.,2.25549e+06,831820
ITUANGO,2023,Hidro,Antioquia,Water,1200,0,.,3.32964e+08,5.2536e+07
ITUANGO,2026,Hidro,Antioquia,Water,1200,0,.,3.32964e+08,5.2536e+07
H_PAGUA,2023,Hidro,Surocciden,Water,600,0,.,7.1118e+07,2.6268e+07
H_PAGUA,2026,Hidro,Surocciden,Water,600,0,.,7.1118e+07,2.6268e+07
H_GUATRON,2023,Hidro,Antioquia,Water,512,0,.,5.80147e+07,2.24154e+07
H_GUATRON,2026,Hidro,Antioquia,Water,512,0,.,5.80147e+07,2.24154e+07
H_ALBAN,2023,Hidro,Surocciden,Water,427,0,.,5.23801e+07,1.86941e+07
H_ALBAN,2026,Hidro,Surocciden,Water,427,0,.,5.23801e+07,1.86941e+07
S_Dulima,2023,pv_solar,Surocciden,Solar,21.9,0,.,2.61552e+06,349743
S_Dulima,2026,pv_solar,Surocciden,Solar,21.9,0,.,2.61552e+06,349743
S_Cauca,2023,pv_solar,Surocciden,Solar,0.3,0,.,35829,4791
S_Cauca,2026,pv_solar,Surocciden,Solar,0.3,0,.,35829,4791
S_Ferch2,2023,pv_solar,Nordeste,Solar,0.01,0,.,1194.3,159.7
S_Ferch2,2026,pv_solar,Nordeste,Solar,0.01,0,.,1194.3,159.7
S_Salado,2023,pv_solar,Surocciden,Solar,0.1,0,.,11943,1597
S_Salado,2026,pv_solar,Surocciden,Solar,0.1,0,.,11943,1597
S_AutJeans,2023,pv_solar,Antioquia,Solar,1.39,0,.,166008,22198.3
S_AutJeans,2026,pv_solar,Antioquia,Solar,1.39,0,.,166008,22198.3
