,timestamp,Values_Type,GeneReal
372,2023_Q2_labor_11h,HIDRAULICA,8035189.337468354
373,2023_Q2_labor_11h,SOLAR,271396.5759493671
374,2023_Q2_labor_11h,TERMICA,1320077.4018987343
375,2023_Q2_labor_12h,COGENERADOR,65098.817974683545
376,2023_Q2_labor_12h,EOLICA,22347.88848101266
377,2023_Q2_labor_12h,HIDRAULICA,8245955.765443038
378,2023_Q2_labor_12h,SOLAR,288160.78582278476
379,2023_Q2_labor_12h,TERMICA,1356117.5035443038
380,2023_Q2_labor_13h,COGENERADOR,65289.641392405065
381,2023_Q2_labor_13h,EOLICA,25219.705063291138
382,2023_Q2_labor_13h,HIDRAULICA,8144478.683670886
383,2023_Q2_labor_13h,SOLAR,290210.35822784813
384,2023_Q2_labor_13h,TERMICA,1374778.4096202531
385,2023_Q2_labor_14h,COGENERADOR,65579.94848101266
386,2023_Q2_labor_14h,EOLICA,26850.27721518987
387,2023_Q2_labor_14h,HIDRAULICA,8172818.343291139
388,2023_Q2_labor_14h,SOLAR,281239.7140506329
389,2023_Q2_labor_14h,TERMICA,1410263.6512658228
390,2023_Q2_labor_15h,COGENERADOR,65461.79075949367
391,2023_Q2_labor_15h,EOLICA,27497.498987341773
392,2023_Q2_labor_15h,HIDRAULICA,8262130.560506329
393,2023_Q2_labor_15h,SOLAR,256833.62645569618
394,2023_Q2_labor_15h,TERMICA,1457092.4430379746
395,2023_Q2_labor_16h,COGENERADOR,66047.67037974684
396,2023_Q2_labor_16h,EOLICA,27470.622151898733
397,2023_Q2_labor_16h,HIDRAULICA,8295988.84392405
398,2023_Q2_labor_16h,SOLAR,202261.53898734177
399,2023_Q2_labor_16h,TERMICA,1468651.6634177214
400,2023_Q2_labor_17h,COGENERADOR,67281.33569620253
401,2023_Q2_labor_17h,EOLICA,27853.097974683547
402,2023_Q2_labor_17h,HIDRAULICA,8218998.461012658
403,2023_Q2_labor_17h,SOLAR,124311.26050632911
