LOAD_ZONE,timepoints,zone_demand_mw
Nordeste,30,802.0715384615385
Caribe,31,1982.18
Nordeste,31,794.2561538461539
Oriental,31,1777.6592307692308
Antioquia,31,901.4776923076922
Surocciden,31,1495.5415384615385
Antioquia,32,873.72
Nordeste,32,769.8007692307692
Oriental,32,1722.9253846153845
Caribe,32,1921.1484615384616
Surocciden,32,1449.4953846153844
Surocciden,33,1496.9930769230768
Caribe,33,1984.103846153846
Antioquia,33,902.3515384615384
Oriental,33,1779.383076923077
Nordeste,33,795.0284615384614
Caribe,34,2098.0176923076924
Surocciden,34,1582.940769230769
Nordeste,34,840.6707692307692
Antioquia,34,954.16
Oriental,34,1881.5461538461536
Surocciden,35,1662.215384615385
Nordeste,35,882.7738461538461
Oriental,35,1975.7746153846156
Antioquia,35,1001.9438461538462
Caribe,35,2203.086923076923
Nordeste,36,916.7023076923076
Caribe,36,2287.7592307692307
Antioquia,36,1040.4515384615386
Oriental,36,2051.710769230769
Surocciden,36,1726.0992307692309
Antioquia,37,1072.9161538461535
Oriental,37,2115.726923076923
Nordeste,37,945.303076923077
Surocciden,37,1779.9584615384615
Caribe,37,2359.1407692307694
Nordeste,38,957.6461538461538
Caribe,38,2389.9453846153847
Antioquia,38,1086.9246153846154
Oriental,38,2143.3546153846155
Surocciden,38,1803.1984615384615
Surocciden,39,1799.78
Oriental,39,2139.286923076923
Caribe,39,2385.412307692308
Nordeste,39,955.8307692307692
Antioquia,39,1084.8638461538462
Surocciden,40,1781.71
Oriental,40,2117.808461538462
Nordeste,40,946.2346153846154
Caribe,40,2361.4615384615386
Antioquia,40,1073.9715384615383
Antioquia,41,1064.5553846153848
Surocciden,41,1766.086923076923
Oriental,41,2099.24
Nordeste,41,937.94
Caribe,41,2340.756923076923
Surocciden,42,1752.0807692307692
Nordeste,42,930.5
Oriental,42,2082.5915384615387
Caribe,42,2322.1953846153847
Antioquia,42,1056.1123076923077
Caribe,43,2335.0015384615385
Nordeste,43,935.6307692307691
Antioquia,43,1061.9376923076925
Oriental,43,2094.0784615384614
Surocciden,43,1761.7446153846154
Antioquia,44,1152.8884615384616
Caribe,44,2534.986923076923
Nordeste,44,1015.7638461538462
Oriental,44,2273.4284615384613
Surocciden,44,1912.633076923077
Surocciden,45,1963.6846153846157
Oriental,45,2334.110769230769
Caribe,45,2602.6484615384616
Antioquia,45,1183.6615384615384
Nordeste,45,1042.8784615384616
Oriental,46,2305.055384615385
Antioquia,46,1168.926923076923
Caribe,46,2570.252307692308
Nordeste,46,1029.8961538461538
Surocciden,46,1939.2384615384613
Surocciden,47,1880.993846153846
Oriental,47,2235.8230769230768
Nordeste,47,998.963076923077
Caribe,47,2493.053076923077
Antioquia,47,1133.819230769231
Antioquia,48,1083.1884615384615
Oriental,48,2135.984615384615
Surocciden,48,1797.0007692307695
Nordeste,48,954.3546153846154
Caribe,48,2381.7276923076925
Nordeste,49,956.5032911392404
Caribe,49,2387.0913924050637
Antioquia,49,1085.626835443038
Surocciden,49,1801.0459493670887
Oriental,49,2140.793164556962
Caribe,50,2247.06253164557
Oriental,50,2015.2121518987344
Antioquia,50,1021.9435443037974
Surocciden,50,1695.394936708861
Nordeste,50,900.3950632911393
Surocciden,51,1638.6650632911392
Antioquia,51,987.7472151898734
Caribe,51,2171.872911392405
Nordeste,51,870.2660759493672
Oriental,51,1947.7803797468357
Oriental,52,1899.739367088608
Caribe,52,2118.304683544304
Antioquia,52,963.3859493670886
Surocciden,52,1598.2482278481014
Nordeste,52,848.8015189873419
Antioquia,53,952.367088607595
Surocciden,53,1579.9689873417722
Caribe,53,2094.0769620253163
Nordeste,53,839.0927848101267
Oriental,53,1878.0122784810128
Oriental,54,1917.5627848101265
Surocciden,54,1613.2418987341773
Nordeste,54,856.7643037974684
Antioquia,54,972.423670886076
Caribe,54,2138.1777215189877
Nordeste,55,899.1637974683545
Antioquia,55,1020.546835443038
Surocciden,55,1693.0782278481013
Oriental,55,2012.4591139240504
Caribe,55,2243.9921518987344
Surocciden,56,1727.1484810126583
Nordeste,56,917.2581012658228
Caribe,56,2289.148860759494
Antioquia,56,1041.083670886076
Oriental,56,2052.955443037975
Oriental,57,2174.219746835443
Surocciden,57,1829.1670886075951
Nordeste,57,971.4383544303798
Caribe,57,2424.362658227848
Antioquia,57,1102.5781012658229
Surocciden,58,1934.846329113924
Oriental,58,2299.8335443037977
Antioquia,58,1166.278227848101
Nordeste,58,1027.562658227848
Caribe,58,2564.428734177215
Caribe,59,2652.8925316455698
Antioquia,59,1206.511012658228
Nordeste,59,1063.0091139240506
Surocciden,59,2001.5912658227849
Oriental,59,2379.168734177216
