LOAD_ZONE,timepoints,zone_demand_mw
Nordeste,2424,1497.2489873417721
Surocciden,2424,2819.240759493671
Caribe,2424,3736.598987341772
Antioquia,2424,1699.3710126582278
Oriental,2424,3351.0602531645573
Nordeste,2423,1593.2177215189872
Surocciden,2423,2999.944050632911
Oriental,2423,3565.8506329113925
Antioquia,2423,1808.2940506329114
Caribe,2423,3976.101518987342
Surocciden,2422,3126.0
Antioquia,2422,1884.2784810126582
Caribe,2422,4143.175696202532
Nordeste,2422,1660.1636708860758
Oriental,2422,3715.6859493670886
Antioquia,2421,1915.7112658227848
Surocciden,2421,3178.148227848101
Oriental,2421,3777.670506329114
Nordeste,2421,1687.858227848101
Caribe,2421,4212.291139240507
Nordeste,2420,1634.9420253164558
Oriental,2420,3659.236202531645
Surocciden,2420,3078.509493670886
Caribe,2420,4080.23164556962
Antioquia,2420,1855.6517721518985
Surocciden,2419,2952.8641772151896
Oriental,2419,3509.8901265822788
Nordeste,2419,1568.2145569620252
Caribe,2419,3913.703164556962
Antioquia,2419,1779.9154430379747
Antioquia,2418,1828.5945569620253
Nordeste,2418,1611.1016455696201
Caribe,2418,4020.7356962025315
Oriental,2418,3605.8797468354433
Surocciden,2418,3033.6208860759493
Surocciden,2417,3077.964430379747
Oriental,2417,3658.5886075949365
Nordeste,2417,1634.6521518987342
Caribe,2417,4079.5089873417724
Antioquia,2417,1855.3234177215188
Antioquia,2416,1860.291392405063
Surocciden,2416,3086.2069620253164
Oriental,2416,3668.3865822784805
Nordeste,2416,1639.0303797468355
Caribe,2416,4090.4341772151897
Surocciden,2415,3051.9668354430382
Oriental,2415,3627.6867088607596
Antioquia,2415,1839.6522784810127
Nordeste,2415,1620.8455696202532
Caribe,2415,4045.051898734177
Antioquia,2414,1825.602911392405
Caribe,2414,4014.1600000000003
Oriental,2414,3599.982278481012
Nordeste,2414,1608.4672151898735
Surocciden,2414,3028.6593670886077
Oriental,2413,3608.8474683544305
Antioquia,2413,1830.0983544303797
Caribe,2413,4024.0451898734177
Nordeste,2413,1612.4284810126583
Surocciden,2413,3036.1174683544305
Caribe,2412,3916.089240506329
Antioquia,2412,1781.001265822785
Nordeste,2412,1569.1703797468356
Surocciden,2412,2954.6656962025318
Oriental,2412,3512.030886075949
Nordeste,2411,1512.892151898734
Caribe,2411,3775.6391139240504
Surocciden,2411,2848.696582278481
Antioquia,2411,1717.1254430379747
Oriental,2411,3386.0711392405065
Surocciden,2410,2749.76164556962
Oriental,2410,3268.473670886076
Nordeste,2410,1460.3493670886078
Caribe,2410,3644.5111392405065
Antioquia,2410,1657.4897468354432
Oriental,2409,3092.6778481012657
Surocciden,2409,2601.8649367088606
Caribe,2409,3448.4906329113924
Nordeste,2409,1381.804683544304
Antioquia,2409,1568.3415189873417
Nordeste,2408,1304.3013924050633
Antioquia,2408,1480.3758227848102
Caribe,2408,3255.070253164557
Oriental,2408,2919.214936708861
Surocciden,2408,2455.9303797468356
Surocciden,2407,2417.1525316455695
Oriental,2407,2873.121392405063
Caribe,2407,3203.6743037974684
Antioquia,2407,1457.0011392405063
Nordeste,2407,1283.707341772152
Surocciden,2406,2339.3162025316456
Oriental,2406,2780.603164556962
Nordeste,2406,1242.3691139240507
Caribe,2406,3100.5106329113923
Antioquia,2406,1410.083417721519
Nordeste,2405,1225.6196202531646
Surocciden,2405,2307.7764556962024
Oriental,2405,2743.113164556962
Caribe,2405,3058.7084810126585
Antioquia,2405,1391.072151898734
Antioquia,2404,1410.3278481012658
Caribe,2404,3101.046329113924
Surocciden,2404,2339.7211392405065
Nordeste,2404,1242.5849367088608
Oriental,2404,2781.0830379746835
Antioquia,2403,1448.2488607594937
Surocciden,2403,2402.631139240506
Oriental,2403,2855.8611392405064
Nordeste,2403,1275.9946835443038
Caribe,2403,3184.4274683544304
Caribe,2402,3299.71835443038
Oriental,2402,2959.256329113924
Nordeste,2402,1322.192405063291
Surocciden,2402,2489.6170886075947
Antioquia,2402,1500.6820253164558
Surocciden,2401,2645.343417721519
Nordeste,2401,1404.8949367088608
Oriental,2401,3144.3579746835444
Caribe,2401,3506.115569620253
Antioquia,2401,1594.5493670886076
Oriental,2400,3157.2976923076926
Caribe,2400,3520.5446153846156
Nordeste,2400,1410.6753846153845
Antioquia,2400,1601.1100000000001
Surocciden,2400,2656.2315384615385
Antioquia,2399,1698.7315384615383
Caribe,2399,3735.196153846154
Surocciden,2399,2818.1815384615384
Oriental,2399,3349.8015384615383
Nordeste,2399,1496.686923076923
Antioquia,2398,1783.5961538461538
Caribe,2398,3921.7946153846156
Nordeste,2398,1571.456923076923
Oriental,2398,3517.1469230769235
Surocciden,2398,2958.9700000000003
Oriental,2397,3610.6015384615384
Antioquia,2397,1830.986153846154
Caribe,2397,4025.998461538461
Nordeste,2397,1613.2123076923076
Surocciden,2397,3037.5930769230768
Surocciden,2396,2990.716923076923
Antioquia,2396,1802.7330769230769
Caribe,2396,3963.8723076923075
Nordeste,2396,1588.316923076923
Oriental,2396,3554.8830769230767
Nordeste,2395,1493.6746153846154
Caribe,2395,3727.68
Surocciden,2395,2812.5099999999998
Antioquia,2395,1695.3161538461538
Oriental,2395,3343.06
Caribe,2394,3756.48
Surocciden,2394,2834.242307692308
Oriental,2394,3368.8915384615384
Antioquia,2394,1708.413076923077
Nordeste,2394,1505.216923076923
Antioquia,2393,1731.2807692307692
Oriental,2393,3413.9830769230766
Surocciden,2393,2872.1784615384613
Caribe,2393,3806.762307692308
Nordeste,2393,1525.3623076923077
Surocciden,2392,2890.39
Nordeste,2392,1535.0353846153846
Caribe,2392,3830.899230769231
Antioquia,2392,1742.2584615384617
Oriental,2392,3435.630769230769
Antioquia,2391,1764.3853846153845
Caribe,2391,3879.555384615385
Nordeste,2391,1554.533076923077
Oriental,2391,3479.2669230769234
Surocciden,2391,2927.1000000000004
Oriental,2390,3522.2184615384617
Nordeste,2390,1573.723076923077
Caribe,2390,3927.4492307692303
Antioquia,2390,1786.166923076923
Surocciden,2390,2963.2346153846156
Surocciden,2389,2976.0007692307695
Oriental,2389,3537.3907692307694
Nordeste,2389,1580.503076923077
Caribe,2389,3944.368461538462
Antioquia,2389,1793.8623076923077
Nordeste,2388,1546.9430769230771
Oriental,2388,3462.2846153846153
Surocciden,2388,2912.8123076923075
Caribe,2388,3860.6176923076923
Antioquia,2388,1755.7738461538463
Surocciden,2387,2817.7946153846156
Oriental,2387,3349.3423076923073
Nordeste,2387,1496.4823076923078
Caribe,2387,3734.6846153846154
Antioquia,2387,1698.500769230769
Oriental,2386,3217.693076923077
Surocciden,2386,2707.036923076923
Caribe,2386,3587.886923076923
Antioquia,2386,1631.7384615384615
Nordeste,2386,1437.6607692307693
Surocciden,2385,2539.1676923076925
Oriental,2385,3018.1530769230767
Nordeste,2385,1348.5069230769232
Caribe,2385,3365.3915384615384
Antioquia,2385,1530.5492307692307
Surocciden,2384,2371.3107692307694
Oriental,2384,2818.633076923077
Nordeste,2384,1259.3623076923077
Caribe,2384,3142.916153846154
Antioquia,2384,1429.3692307692306
Surocciden,2383,2318.472307692308
Nordeste,2383,1231.2992307692307
Caribe,2383,3072.886153846154
Antioquia,2383,1397.5192307692307
Oriental,2383,2755.826923076923
Surocciden,2382,2296.337692307692
Oriental,2382,2729.516153846154
Nordeste,2382,1219.5446153846153
Caribe,2382,3043.546923076923
Antioquia,2382,1384.176923076923
Antioquia,2381,1378.1615384615384
Surocciden,2381,2286.3576923076926
Oriental,2381,2717.652307692308
Nordeste,2381,1214.2446153846154
Caribe,2381,3030.3184615384616
Surocciden,2380,2320.12
Antioquia,2380,1398.5130769230768
Caribe,2380,3075.07
Nordeste,2380,1232.1753846153847
Oriental,2380,2757.7846153846153
Antioquia,2379,1436.0061538461537
Surocciden,2379,2382.320769230769
Oriental,2379,2831.7176923076922
Nordeste,2379,1265.206153846154
Caribe,2379,3157.5069230769227
Surocciden,2378,2470.916923076923
Antioquia,2378,1489.4084615384616
Caribe,2378,3274.933846153846
Nordeste,2378,1312.2592307692307
Oriental,2378,2937.0284615384617
Antioquia,2377,1516.0792307692307
Caribe,2377,3333.5730769230768
Nordeste,2377,1335.7584615384617
Oriental,2377,2989.6169230769233
Surocciden,2377,2515.1607692307693
Nordeste,2376,1443.873924050633
Surocciden,2376,2718.7382278481014
Oriental,2376,3231.598987341772
Caribe,2376,3603.3937974683545
Antioquia,2376,1638.7910126582278
Oriental,2375,3450.5498734177218
Antioquia,2375,1749.823164556962
Caribe,2375,3847.5354430379743
Nordeste,2375,1541.7015189873418
Surocciden,2375,2902.942025316456
Antioquia,2374,1829.7368354430378
Nordeste,2374,1612.1087341772152
Caribe,2374,4023.2497468354427
Oriental,2374,3608.1334177215185
Surocciden,2374,3035.517088607595
Antioquia,2373,1868.7748101265822
Caribe,2373,4109.086329113924
Surocciden,2373,3100.280886075949
Oriental,2373,3685.1145569620253
Nordeste,2373,1646.5043037974683
Oriental,2372,3601.8654430379747
Nordeste,2372,1609.3083544303797
Caribe,2372,4016.2599999999998
Antioquia,2372,1826.5581012658226
Surocciden,2372,3030.243670886076
Surocciden,2371,2880.796835443038
Oriental,2371,3424.227088607595
Nordeste,2371,1529.940253164557
Caribe,2371,3818.1845569620255
Antioquia,2371,1736.475316455696
Antioquia,2370,1780.8346835443037
Surocciden,2370,2954.3888607594936
Oriental,2370,3511.702025316456
Nordeste,2370,1569.023924050633
Caribe,2370,3915.722784810126
Surocciden,2369,3000.749240506329
Oriental,2369,3566.80746835443
Nordeste,2369,1593.6449367088608
Caribe,2369,3977.16746835443
Antioquia,2369,1808.7798734177213
Nordeste,2368,1595.073164556962
Antioquia,2368,1810.4020253164558
Caribe,2368,3980.73417721519
Surocciden,2368,3003.439620253165
Oriental,2368,3570.006329113924
