gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Hidro,Water,2035,70647.43163718456,97912793.3312988,0.0,14666.943866210711,2485259163.324162,645646251.7838762,45.70326385000359,0.5498606509040963,0.0,0.0
RunOfRiver,Water,2023,8896.355701219694,12365934.424695376,0.0,782.05,116267831.30329473,34238149.0,18.307711629118007,1.2985943601014214,0.0,0.0
RunOfRiver,Water,2024,7831.308824334961,10885519.265825596,0.0,782.05,116267831.30329473,34238149.0,20.608496381551618,1.1431302673857346,0.0,0.0
RunOfRiver,Water,2025,7854.6620630616435,10917980.267655684,0.0,782.05,116267831.30329473,34238149.0,20.551356541497018,1.1465391221032246,0.0,0.0
RunOfRiver,Water,2026,7729.999061602853,10744698.695627965,0.0,782.05,116267831.30329473,34238149.0,20.860374977262488,1.1283421574083996,0.0,0.0
RunOfRiver,Water,2027,7760.937995337354,10787703.81351892,0.0,782.05,116267831.30329473,34238149.0,20.782756441774985,1.1328582903289466,0.0,0.0
RunOfRiver,Water,2028,7771.460281764028,10802329.791651996,0.0,782.05,116267831.30329473,34238149.0,20.75649932528918,1.1343942205758877,0.0,0.0
RunOfRiver,Water,2029,7762.750948840045,10790223.818887662,0.0,782.05,116267831.30329473,34238149.0,20.778227355894263,1.133122925790116,0.0,0.0
RunOfRiver,Water,2030,7768.187469048861,10797780.581977915,0.0,782.05,116267831.30329473,34238149.0,20.76465861926768,1.1339164905619,0.0,0.0
RunOfRiver,Water,2031,7747.301964112528,10768749.730116414,0.0,782.05,116267831.30329473,34238149.0,20.816889644998565,1.1308678490923965,0.0,0.0
RunOfRiver,Water,2032,7735.878778459799,10752871.50205912,0.0,782.05,116267831.30329473,34238149.0,20.845576362232013,1.129200415262048,0.0,0.0
