GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
S_Tucanes,2023,pv_solar,Caribe,Solar,0,0,0
S_Paila,2023,pv_solar,Surocciden,Solar,0,0,0
S_Aurora,2023,pv_solar,Caribe,Solar,0,0,0
S_Cerrito,2023,pv_solar,Surocciden,Solar,0,0,0
S_Fundacion,2023,pv_solar,Caribe,Solar,100,0,1.327e+08
S_Girasoles,2023,pv_solar,Nordeste,Solar,9.5,0,1.26065e+07
S_Medin,2023,pv_solar,Surocciden,Solar,0,0,0
S_PetaCesaII,2023,pv_solar,Nordeste,Solar,9.9,0,1.31373e+07
S_BayuncaI,2023,pv_solar,Caribe,Solar,0,0,0
S_Palmira3_Franca,2023,pv_solar,Surocciden,Solar,2.9,0,3.8483e+06
S_SalvadorI,2023,pv_solar,Antioquia,Solar,0.01,0,13270
S_SalvadorII,2023,pv_solar,Antioquia,Solar,0,0,0
S_AutSolla,2023,pv_solar,Surocciden,Solar,6.4,0,8.4928e+06
S_AutEncanto,2023,pv_solar,Caribe,Solar,0.99,0,1.31373e+06
S_Uruaco,2023,pv_solar,Caribe,Solar,1,0,1.327e+06
S_Harinas,2023,pv_solar,Surocciden,Solar,0,0,0
S_AutLevapan,2023,pv_solar,Surocciden,Solar,0,0,0
S_AutGragas,2023,pv_solar,Surocciden,Solar,4,0,5.308e+06
S_Carmelo,2023,pv_solar,Surocciden,Solar,0,0,0
S_PortonSol,2023,pv_solar,Antioquia,Solar,102,0,1.35354e+08
S_Sierpe,2023,pv_solar,Caribe,Solar,0,0,0
S_Since,2023,pv_solar,Oriental,Solar,0,0,0
S_HeliosI,2023,pv_solar,Caribe,Solar,0,0,0
S_SolBolivar,2023,pv_solar,Caribe,Solar,0,0,0
S_Yumbo,2023,pv_solar,Surocciden,Solar,0,0,0
S_TierraLind,2023,pv_solar,Caribe,Solar,9.9,0,1.31373e+07
S_Tolua,2023,pv_solar,Caribe,Solar,19.9,0,2.64073e+07
S_BSLlanos4,2023,pv_solar,Oriental,Solar,0,0,0
S_BSLlanos5,2023,pv_solar,Oriental,Solar,0,0,0
S_El_Paso,2023,pv_solar,Caribe,Solar,68,0,9.0236e+07
