LOAD_ZONE,timepoints,zone_demand_mw
Nordeste,79,788.8892307692307
Oriental,79,1765.6507692307691
Surocciden,79,1485.44
Surocciden,78,1507.8738461538462
Oriental,78,1792.3184615384614
Nordeste,78,800.8061538461538
Caribe,78,1998.5253846153848
Antioquia,78,908.9115384615385
Surocciden,77,1525.1669230769232
Nordeste,77,809.9892307692309
Caribe,77,2021.4438461538462
Antioquia,77,919.3346153846154
Oriental,77,1812.8730769230767
Surocciden,76,1560.9453846153847
Oriental,76,1855.3992307692306
Nordeste,76,828.9915384615384
Caribe,76,2068.8623076923077
Antioquia,76,940.9007692307691
Caribe,75,2135.683846153846
Antioquia,75,971.2892307692308
Surocciden,75,1611.3615384615384
Oriental,75,1915.3246153846155
Nordeste,75,855.7638461538462
Antioquia,74,1010.8884615384616
Caribe,74,2222.7546153846156
Nordeste,74,890.6538461538462
Oriental,74,1993.413076923077
Surocciden,74,1677.0538461538463
Antioquia,73,1016.7292307692308
Surocciden,73,1686.7407692307693
Oriental,73,2004.9284615384615
Nordeste,73,895.8
Caribe,73,2235.593846153846
Nordeste,72,1019.5446835443038
Antioquia,72,1157.1786075949367
Caribe,72,2544.419746835443
Oriental,72,2281.888734177215
Surocciden,72,1919.7492405063292
Surocciden,71,2052.8662025316453
Oriental,71,2440.116329113924
Nordeste,71,1090.2408860759494
Caribe,71,2720.8520253164556
Antioquia,71,1237.4179746835443
Surocciden,70,2151.77417721519
Oriental,70,2557.6830379746834
Nordeste,70,1142.7693670886076
Caribe,70,2851.9443037974684
Antioquia,70,1297.0382278481013
Nordeste,69,1169.577594936709
Antioquia,69,1327.4648101265823
Oriental,69,2617.6832911392407
Caribe,69,2918.847594936709
Surocciden,69,2202.2527848101267
Oriental,68,2565.5143037974685
Antioquia,68,1301.0093670886076
Caribe,68,2860.6764556962025
Nordeste,68,1146.2684810126582
Surocciden,68,2158.3627848101264
Antioquia,67,1239.7712658227847
Nordeste,67,1092.3145569620253
Oriental,67,2444.7575949367088
Surocciden,67,2056.7705063291137
Caribe,67,2726.0262025316456
Antioquia,66,1272.7311392405063
Surocciden,66,2111.450506329114
Oriental,66,2509.7517721518984
Nordeste,66,1121.353417721519
Caribe,66,2798.498607594937
Nordeste,65,1139.6420253164556
Antioquia,65,1293.489493670886
Caribe,65,2844.141012658228
Surocciden,65,2145.8872151898736
Oriental,65,2550.684683544304
Antioquia,64,1294.067341772152
Caribe,64,2845.412151898734
Nordeste,64,1140.1522784810127
Oriental,64,2551.8253164556963
Surocciden,64,2146.8462025316458
Nordeste,63,1127.1354430379747
Caribe,63,2812.9269620253167
Oriental,63,2522.6911392405063
Antioquia,63,1279.2927848101267
Surocciden,63,2122.3358227848103
Antioquia,62,1272.7406329113924
Caribe,62,2798.517848101266
Nordeste,62,1121.3618987341772
Oriental,62,2509.769240506329
Surocciden,62,2111.4643037974683
Antioquia,61,1282.7022784810126
Caribe,61,2820.4218987341774
Nordeste,61,1130.1386075949367
Oriental,61,2529.412911392405
Surocciden,61,2127.9906329113924
Nordeste,60,1101.2712658227847
Caribe,60,2748.3806329113927
Oriental,60,2464.8044303797465
Surocciden,60,2073.6356962025316
Antioquia,60,1249.9378481012657
Antioquia,59,1206.5110126582279
Caribe,59,2652.8925316455698
Nordeste,59,1063.0091139240506
Surocciden,59,2001.5912658227846
Oriental,59,2379.1687341772154
Oriental,58,2299.8335443037977
Nordeste,58,1027.562658227848
Surocciden,58,1934.846329113924
Antioquia,58,1166.2782278481013
Caribe,58,2564.428734177215
Caribe,57,2424.362658227848
Antioquia,57,1102.5781012658229
Nordeste,57,971.4383544303798
Oriental,57,2174.219746835443
Surocciden,57,1829.1670886075951
Surocciden,56,1727.1484810126583
Oriental,56,2052.955443037975
Nordeste,56,917.2581012658228
