timestamp,Tech,DispatchGen_MW,Quarter,DayType,Hour,Source,Subplot
2023_Q1_L_12h,Hydro,7124.7549702336,Q1,Labor,12h,Pred,Pred-Labor
2023_Q1_L_13h,Hydro,7547.990478128,Q1,Labor,13h,Pred,Pred-Labor
2023_Q1_L_14h,Hydro,7461.0900818103,Q1,Labor,14h,Pred,Pred-Labor
2023_Q1_L_15h,Hydro,7811.225534229,Q1,Labor,15h,Pred,Pred-Labor
2023_Q1_L_16h,Hydro,7357.770251260999,Q1,Labor,16h,Pred,Pred-Labor
2023_Q1_L_17h,Hydro,7613.9124421060005,Q1,Labor,17h,Pred,Pred-Labor
2023_Q1_L_18h,Hydro,7575.210482494,Q1,Labor,18h,Pred,Pred-Labor
2023_Q1_L_19h,Hydro,7713.534451734,Q1,Labor,19h,Pred,Pred-Labor
2023_Q1_L_20h,Hydro,8028.991078266,Q1,Labor,20h,Pred,Pred-Labor
2023_Q1_L_21h,Hydro,7899.901330299,Q1,Labor,21h,Pred,Pred-Labor
2023_Q1_L_22h,Hydro,7440.3179474416,Q1,Labor,22h,Pred,Pred-Labor
2023_Q1_L_23h,Hydro,6955.731875982,Q1,Labor,23h,Pred,Pred-Labor
2023_Q1_L_0h,Run of River,496.2384324,Q1,Labor,0h,Pred,Pred-Labor
2023_Q1_L_1h,Run of River,605.8509599,Q1,Labor,1h,Pred,Pred-Labor
2023_Q1_L_2h,Run of River,260.4969061,Q1,Labor,2h,Pred,Pred-Labor
2023_Q1_L_3h,Run of River,133.03863,Q1,Labor,3h,Pred,Pred-Labor
2023_Q1_L_4h,Run of River,373.220982,Q1,Labor,4h,Pred,Pred-Labor
2023_Q1_L_5h,Run of River,418.690377,Q1,Labor,5h,Pred,Pred-Labor
2023_Q1_L_6h,Run of River,136.76600150000002,Q1,Labor,6h,Pred,Pred-Labor
2023_Q1_L_7h,Run of River,231.0399716,Q1,Labor,7h,Pred,Pred-Labor
2023_Q1_L_8h,Run of River,375.08362769999997,Q1,Labor,8h,Pred,Pred-Labor
2023_Q1_L_9h,Run of River,272.6527991,Q1,Labor,9h,Pred,Pred-Labor
2023_Q1_L_10h,Run of River,528.6054487,Q1,Labor,10h,Pred,Pred-Labor
2023_Q1_L_11h,Run of River,472.91033120000003,Q1,Labor,11h,Pred,Pred-Labor
2023_Q1_L_12h,Run of River,610.4286549999999,Q1,Labor,12h,Pred,Pred-Labor
2023_Q1_L_13h,Run of River,188.721303,Q1,Labor,13h,Pred,Pred-Labor
2023_Q1_L_14h,Run of River,216.5385875,Q1,Labor,14h,Pred,Pred-Labor
2023_Q1_L_15h,Run of River,218.6152904,Q1,Labor,15h,Pred,Pred-Labor
2023_Q1_L_16h,Run of River,549.827775,Q1,Labor,16h,Pred,Pred-Labor
2023_Q1_L_17h,Run of River,408.9859864,Q1,Labor,17h,Pred,Pred-Labor
2023_Q1_L_18h,Run of River,357.9064552,Q1,Labor,18h,Pred,Pred-Labor
2023_Q1_L_19h,Run of River,352.63280480000003,Q1,Labor,19h,Pred,Pred-Labor
2023_Q1_L_20h,Run of River,428.702179,Q1,Labor,20h,Pred,Pred-Labor
2023_Q1_L_21h,Run of River,192.6038313,Q1,Labor,21h,Pred,Pred-Labor
2023_Q1_L_22h,Run of River,348.798229,Q1,Labor,22h,Pred,Pred-Labor
2023_Q1_L_23h,Run of River,442.33445385,Q1,Labor,23h,Pred,Pred-Labor
2023_Q1_L_0h,Thermal,1539.11398,Q1,Labor,0h,Pred,Pred-Labor
2023_Q1_L_1h,Thermal,1499.234306,Q1,Labor,1h,Pred,Pred-Labor
2023_Q1_L_2h,Thermal,1327.37003,Q1,Labor,2h,Pred,Pred-Labor
2023_Q1_L_3h,Thermal,1272.51666,Q1,Labor,3h,Pred,Pred-Labor
2023_Q1_L_4h,Thermal,1246.154367,Q1,Labor,4h,Pred,Pred-Labor
2023_Q1_L_5h,Thermal,1442.6535,Q1,Labor,5h,Pred,Pred-Labor
2023_Q1_L_6h,Thermal,1345.35737,Q1,Labor,6h,Pred,Pred-Labor
2023_Q1_L_7h,Thermal,1344.14451,Q1,Labor,7h,Pred,Pred-Labor
2023_Q1_L_8h,Thermal,1414.67411,Q1,Labor,8h,Pred,Pred-Labor
2023_Q1_L_9h,Thermal,1506.336862,Q1,Labor,9h,Pred,Pred-Labor
2023_Q1_L_10h,Thermal,1557.43472,Q1,Labor,10h,Pred,Pred-Labor
2023_Q1_L_11h,Thermal,1631.06744,Q1,Labor,11h,Pred,Pred-Labor
2023_Q1_L_12h,Thermal,1706.60457,Q1,Labor,12h,Pred,Pred-Labor
2023_Q1_L_13h,Thermal,1719.32673,Q1,Labor,13h,Pred,Pred-Labor
2023_Q1_L_14h,Thermal,1936.2409,Q1,Labor,14h,Pred,Pred-Labor
2023_Q1_L_15h,Thermal,1860.03351,Q1,Labor,15h,Pred,Pred-Labor
2023_Q1_L_16h,Thermal,2081.352197,Q1,Labor,16h,Pred,Pred-Labor
2023_Q1_L_17h,Thermal,1920.709269,Q1,Labor,17h,Pred,Pred-Labor
2023_Q1_L_18h,Thermal,1876.90044,Q1,Labor,18h,Pred,Pred-Labor
2023_Q1_L_19h,Thermal,2184.22653,Q1,Labor,19h,Pred,Pred-Labor
2023_Q1_L_20h,Thermal,1882.5,Q1,Labor,20h,Pred,Pred-Labor
2023_Q1_L_21h,Thermal,1976.765001,Q1,Labor,21h,Pred,Pred-Labor
2023_Q1_L_22h,Thermal,1894.562985,Q1,Labor,22h,Pred,Pred-Labor
2023_Q1_L_23h,Thermal,1692.03492,Q1,Labor,23h,Pred,Pred-Labor
2023_Q1_L_0h,Solar,0.0,Q1,Labor,0h,Pred,Pred-Labor
2023_Q1_L_1h,Solar,0.0,Q1,Labor,1h,Pred,Pred-Labor
2023_Q1_L_2h,Solar,0.0,Q1,Labor,2h,Pred,Pred-Labor
2023_Q1_L_3h,Solar,0.0,Q1,Labor,3h,Pred,Pred-Labor
2023_Q1_L_4h,Solar,0.0,Q1,Labor,4h,Pred,Pred-Labor
2023_Q1_L_5h,Solar,0.06080646635315,Q1,Labor,5h,Pred,Pred-Labor
2023_Q1_L_6h,Solar,45.583825158050004,Q1,Labor,6h,Pred,Pred-Labor
2023_Q1_L_7h,Solar,168.5840276074,Q1,Labor,7h,Pred,Pred-Labor
2023_Q1_L_8h,Solar,322.017402122,Q1,Labor,8h,Pred,Pred-Labor
2023_Q1_L_9h,Solar,459.845494308,Q1,Labor,9h,Pred,Pred-Labor
2023_Q1_L_10h,Solar,562.0259603525,Q1,Labor,10h,Pred,Pred-Labor
2023_Q1_L_11h,Solar,612.8854809313,Q1,Labor,11h,Pred,Pred-Labor
2023_Q1_L_12h,Solar,610.0797368514001,Q1,Labor,12h,Pred,Pred-Labor
2023_Q1_L_13h,Solar,551.1043386949,Q1,Labor,13h,Pred,Pred-Labor
2023_Q1_L_14h,Solar,442.870608774,Q1,Labor,14h,Pred,Pred-Labor
2023_Q1_L_15h,Solar,304.4231310038,Q1,Labor,15h,Pred,Pred-Labor
2023_Q1_L_16h,Solar,157.1163731181,Q1,Labor,16h,Pred,Pred-Labor
2023_Q1_L_17h,Solar,33.05872180933,Q1,Labor,17h,Pred,Pred-Labor
2023_Q1_L_18h,Solar,0.03198305133702,Q1,Labor,18h,Pred,Pred-Labor
2023_Q1_L_19h,Solar,0.0,Q1,Labor,19h,Pred,Pred-Labor
2023_Q1_L_20h,Solar,0.0,Q1,Labor,20h,Pred,Pred-Labor
2023_Q1_L_21h,Solar,0.0,Q1,Labor,21h,Pred,Pred-Labor
2023_Q1_L_22h,Solar,0.0,Q1,Labor,22h,Pred,Pred-Labor
2023_Q1_L_23h,Solar,0.0,Q1,Labor,23h,Pred,Pred-Labor
2023_Q1_L_0h,Wind,26.7344965,Q1,Labor,0h,Pred,Pred-Labor
2023_Q1_L_1h,Wind,26.528069700000003,Q1,Labor,1h,Pred,Pred-Labor
2023_Q1_L_2h,Wind,26.3162907,Q1,Labor,2h,Pred,Pred-Labor
2023_Q1_L_3h,Wind,26.242779300000002,Q1,Labor,3h,Pred,Pred-Labor
2023_Q1_L_4h,Wind,26.115741200000002,Q1,Labor,4h,Pred,Pred-Labor
2023_Q1_L_5h,Wind,26.068894200000003,Q1,Labor,5h,Pred,Pred-Labor
2023_Q1_L_6h,Wind,25.920076199999997,Q1,Labor,6h,Pred,Pred-Labor
2023_Q1_L_7h,Wind,25.6941433,Q1,Labor,7h,Pred,Pred-Labor
