GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
PV_Nordeste,2035,1.6980874155171988e-06
E_Caribe,2027,109.20444737248465
E_Caribe,2028,1.5887492152496431e-09
E_Caribe,2029,1.7736168515662718e-09
E_Caribe,2030,155.98196427424776
E_Caribe,2031,497.4519109437087
E_Caribe,2032,279.12797327232624
E_Caribe,2033,535.7338187810367
E_Caribe,2034,287.4618913456184
E_Caribe,2035,154.36491901786803
GEO_Surocciden,2024,3.005063680596682e-08
GEO_Surocciden,2025,2.23667811759375e-08
GEO_Surocciden,2026,3.582113879247447e-09
GEO_Surocciden,2027,2.2071337171013697e-08
GEO_Surocciden,2028,2.33943847509799e-08
GEO_Surocciden,2029,2.605540478449237e-08
GEO_Surocciden,2030,5.251176135033651e-08
GEO_Surocciden,2031,13.941925415185848
GEO_Surocciden,2032,49.82474988398549
GEO_Surocciden,2033,2.488114769692945e-09
GEO_Surocciden,2034,9.165441736991763
GEO_Surocciden,2035,77.06788293727269
Bio_Surocciden,2024,3.004139625085637e-08
Bio_Surocciden,2025,2.2364008412066296e-08
Bio_Surocciden,2026,3.597672877146461e-09
Bio_Surocciden,2027,2.2068024919380232e-08
Bio_Surocciden,2028,2.3397979196258115e-08
Bio_Surocciden,2029,2.6067382011287882e-08
Bio_Surocciden,2030,5.250768027201525e-08
Bio_Surocciden,2031,13.91381651330497
Bio_Surocciden,2032,48.6224328000548
Bio_Surocciden,2033,2.3654507493224334e-09
Bio_Surocciden,2034,7.731728098736111
Bio_Surocciden,2035,29.73202256391922
