GEN_TPS_1,GEN_TPS_2,DispatchGen
AMOYA,3306,0.53926
AMOYA,3307,80.0
AMOYA,3308,80.0
AMOYA,3309,0.53926
AMOYA,3310,0.53926
AMOYA,3311,80.0
AMOYA,3312,0.53926
AMOYA,3313,80.0
AMOYA,3314,80.0
AMOYA,3315,80.0
AMOYA,3316,0.00303
AMOYA,3317,0.00303
AMOYA,3318,80.0
AMOYA,3319,0.00303
AMOYA,3320,80.0
AMOYA,3321,0.00303
AMOYA,3322,0.00303
AMOYA,3323,80.0
AMOYA,3324,0.00303
AMOYA,3325,80.0
AMOYA,3326,80.0
AMOYA,3327,4.2009284
AMOYA,3328,80.0
AMOYA,3329,80.0
AMOYA,3330,0.00303
AMOYA,3331,80.0
AMOYA,3332,80.0
AMOYA,3333,0.00303
AMOYA,3334,0.00303
AMOYA,3335,80.0
AMOYA,3336,80.0
AMOYA,3337,80.0
AMOYA,3338,0.02993
AMOYA,3339,0.02993
AMOYA,3340,80.0
AMOYA,3341,0.02993
AMOYA,3342,0.02993
AMOYA,3343,80.0
AMOYA,3344,0.02993
AMOYA,3345,0.02993
AMOYA,3346,80.0
AMOYA,3347,80.0
AMOYA,3348,0.02993
AMOYA,3349,80.0
AMOYA,3350,80.0
AMOYA,3351,80.0
AMOYA,3352,80.0
AMOYA,3353,0.02993
AMOYA,3354,80.0
AMOYA,3355,80.0
AMOYA,3356,80.0
AMOYA,3357,80.0
AMOYA,3358,0.02993
AMOYA,3359,80.0
AMOYA,3360,60.122726
AMOYA,3361,2.2248888
AMOYA,3362,80.0
AMOYA,3363,0.03678
AMOYA,3364,80.0
AMOYA,3365,80.0
AMOYA,3366,80.0
AMOYA,3367,80.0
AMOYA,3368,0.03678
AMOYA,3369,0.03678
AMOYA,3370,80.0
AMOYA,3371,80.0
AMOYA,3372,80.0
AMOYA,3373,0.03678
AMOYA,3374,80.0
AMOYA,3375,80.0
AMOYA,3376,80.0
AMOYA,3377,80.0
AMOYA,3378,80.0
AMOYA,3379,80.0
AMOYA,3380,80.0
AMOYA,3381,80.0
AMOYA,3382,80.0
AMOYA,3383,80.0
AMOYA,3384,0.03678
AMOYA,3385,36.105873
AMOYA,3386,1.4006
AMOYA,3387,1.4006
AMOYA,3388,1.4006
AMOYA,3389,80.0
AMOYA,3390,80.0
AMOYA,3391,38.508639
AMOYA,3392,80.0
AMOYA,3393,80.0
AMOYA,3394,1.4006
AMOYA,3395,80.0
AMOYA,3396,59.5103
AMOYA,3397,80.0
AMOYA,3398,1.4006
AMOYA,3399,80.0
AMOYA,3400,80.0
AMOYA,3401,80.0
AMOYA,3402,80.0
AMOYA,3403,80.0
AMOYA,3404,80.0
AMOYA,3405,80.0
AMOYA,3406,80.0
AMOYA,3407,80.0
AMOYA,3408,80.0
AMOYA,3409,80.0
AMOYA,3410,0.00135
AMOYA,3411,0.00135
AMOYA,3412,80.0
AMOYA,3413,0.00135
