HYDRO_GEN_TS_1,HYDRO_GEN_TS_2,Relax_Enforce_Hydro_Avg_Flow_up
GUAVIO,2024_Q2_holidays,1.0723433096732614e-17
GUAVIO,2024_Q3_labor,1.0723433089025579e-17
GUAVIO,2024_Q3_holidays,1.0723433100253136e-17
GUAVIO,2024_Q4_labor,1.0723433092102776e-17
GUAVIO,2024_Q4_holidays,1.0723433109282122e-17
H_ALBAN,2023_Q1_labor,1.0723433078281467e-17
H_ALBAN,2023_Q1_holidays,1.0723433160747943e-17
H_ALBAN,2023_Q2_labor,1.0723433078762907e-17
H_ALBAN,2023_Q2_holidays,1.07234334044764e-17
H_ALBAN,2023_Q3_labor,1.0723433152828273e-17
H_ALBAN,2023_Q3_holidays,1.0723434390493411e-17
H_ALBAN,2023_Q4_labor,1.0723433090536093e-17
H_ALBAN,2023_Q4_holidays,1.0723433639434643e-17
H_ALBAN,2024_Q1_labor,1.0723433079109944e-17
H_ALBAN,2024_Q1_holidays,1.0723433172799965e-17
H_ALBAN,2024_Q2_labor,1.0723433078590391e-17
H_ALBAN,2024_Q2_holidays,1.0723433420590561e-17
H_ALBAN,2024_Q3_labor,1.0723433152366894e-17
H_ALBAN,2024_Q3_holidays,1.0723434499950556e-17
H_ALBAN,2024_Q4_labor,1.072343308998244e-17
H_ALBAN,2024_Q4_holidays,1.0723433667687085e-17
H_Amalfi,2023_Q1_labor,1.0723437905599369e-17
H_Amalfi,2023_Q1_holidays,1.072343840060685e-17
H_Amalfi,2023_Q2_labor,1.0723438534204146e-17
H_Amalfi,2023_Q2_holidays,1.07234385060841e-17
H_Amalfi,2023_Q3_labor,1.0723448677799353e-17
H_Amalfi,2023_Q3_holidays,1.0723448567315137e-17
H_Amalfi,2023_Q4_labor,1.0723437686659e-17
H_Amalfi,2023_Q4_holidays,1.0723437651166921e-17
H_Amalfi,2024_Q1_labor,1.072343790973172e-17
H_Amalfi,2024_Q1_holidays,1.0723438497997933e-17
H_Amalfi,2024_Q2_labor,1.0723438530220238e-17
H_Amalfi,2024_Q2_holidays,1.0723438619689645e-17
H_Amalfi,2024_Q3_labor,1.0723448667665063e-17
H_Amalfi,2024_Q3_holidays,1.07234488618013e-17
H_Amalfi,2024_Q4_labor,1.072343768106829e-17
H_Amalfi,2024_Q4_holidays,1.0723437813873218e-17
H_America,2023_Q1_labor,1.0723459314095146e-17
H_America,2023_Q1_holidays,1.0723438985715625e-17
H_America,2023_Q2_labor,1.0723567821574626e-17
H_America,2023_Q2_holidays,1.0723502186680858e-17
H_America,2023_Q3_labor,2.573623715054197e-16
H_America,2023_Q3_holidays,2.57362371482417e-16
H_America,2023_Q4_labor,1.072344375143141e-17
H_America,2023_Q4_holidays,1.0723458257631584e-17
H_America,2024_Q1_labor,1.0723459426440926e-17
H_America,2024_Q1_holidays,1.0723448571198745e-17
H_America,2024_Q2_labor,1.0723567854432834e-17
H_America,2024_Q2_holidays,1.0723502116874221e-17
H_America,2024_Q3_labor,2.5736237150223623e-16
H_America,2024_Q3_holidays,2.5736237153429805e-16
H_America,2024_Q4_labor,1.0723443734946139e-17
H_America,2024_Q4_holidays,1.0723458285793755e-17
H_Asnazu,2023_Q1_labor,1.072343445270535e-17
H_Asnazu,2023_Q1_holidays,1.0723437101967472e-17
H_Asnazu,2023_Q2_labor,1.0723434063261378e-17
H_Asnazu,2023_Q2_holidays,1.0723434027021064e-17
H_Asnazu,2023_Q3_labor,1.0723436012609595e-17
H_Asnazu,2023_Q3_holidays,1.0723438440157056e-17
H_Asnazu,2023_Q4_labor,1.0723435996246691e-17
H_Asnazu,2023_Q4_holidays,1.072343836316093e-17
H_Asnazu,2024_Q1_labor,1.0723434458171688e-17
H_Asnazu,2024_Q1_holidays,1.0723437310711367e-17
H_Asnazu,2024_Q2_labor,1.0723434059917383e-17
H_Asnazu,2024_Q2_holidays,1.0723434116273822e-17
H_Asnazu,2024_Q3_labor,1.0723436005377983e-17
H_Asnazu,2024_Q3_holidays,1.072343871552608e-17
H_Asnazu,2024_Q4_labor,1.072343598705923e-17
H_Asnazu,2024_Q4_holidays,1.0723438721927212e-17
H_AuresBajo,2023_Q1_labor,1.0723433162366782e-17
H_AuresBajo,2023_Q1_holidays,1.0723433178685556e-17
H_AuresBajo,2023_Q2_labor,1.072343312344445e-17
H_AuresBajo,2023_Q2_holidays,1.0723433113253993e-17
H_AuresBajo,2023_Q3_labor,1.0723433118447516e-17
H_AuresBajo,2023_Q3_holidays,1.0723433124325083e-17
H_AuresBajo,2023_Q4_labor,1.0723433096371535e-17
H_AuresBajo,2023_Q4_holidays,1.0723433108487748e-17
H_AuresBajo,2024_Q1_labor,1.0723433162607501e-17
