HYDRO_GEN_TPS_1,HYDRO_GEN_TPS_2,SpillHydro
AMOYA,1460,3.288641187691576e-08
AMOYA,1461,0.0
AMOYA,1462,0.0
AMOYA,1463,0.0
AMOYA,1464,0.0
AMOYA,1465,0.0
AMOYA,1466,0.0
AMOYA,1467,0.0
AMOYA,1468,0.0
AMOYA,1469,0.0
AMOYA,1470,1.3506696065330115e-07
AMOYA,1471,0.0
AMOYA,1472,0.0
AMOYA,1473,0.0
AMOYA,1474,0.0
AMOYA,1475,0.0
AMOYA,1476,0.0
AMOYA,1477,0.0
AMOYA,1478,0.0
AMOYA,1479,0.0
AMOYA,1480,0.0
AMOYA,1481,0.0
AMOYA,1482,0.0
AMOYA,1483,0.0
AMOYA,1484,0.0
AMOYA,1485,0.0
AMOYA,1486,0.0
AMOYA,1487,0.0
AMOYA,1488,0.0
AMOYA,1489,0.0
AMOYA,1490,0.0
AMOYA,1491,0.0
AMOYA,1492,0.0
AMOYA,1493,0.0
AMOYA,1494,0.0
AMOYA,1495,0.0
AMOYA,1496,0.0
AMOYA,1497,0.0
AMOYA,1498,2.4775311607955544e-08
AMOYA,1499,0.0
AMOYA,1500,0.0
AMOYA,1501,0.0
AMOYA,1502,0.0
AMOYA,1503,0.0
AMOYA,1504,0.0
AMOYA,1505,0.0
AMOYA,1506,0.0
AMOYA,1507,0.0
AMOYA,1508,0.0
AMOYA,1509,0.0
AMOYA,1510,0.0
AMOYA,1511,0.0
AMOYA,1512,0.0
AMOYA,1513,0.0
AMOYA,1514,0.0
AMOYA,1515,0.0
AMOYA,1516,0.0
AMOYA,1517,0.0
AMOYA,1518,0.0
AMOYA,1519,0.0
AMOYA,1520,0.0
AMOYA,1521,0.0
AMOYA,1522,0.0
AMOYA,1523,0.0
AMOYA,1524,0.0
AMOYA,1525,0.0
AMOYA,1526,0.0
AMOYA,1527,0.0
AMOYA,1528,0.0
AMOYA,1529,0.0
AMOYA,1530,0.0
AMOYA,1531,0.0
AMOYA,1532,0.0
AMOYA,1533,2.143295632778092e-08
AMOYA,1534,0.0
AMOYA,1535,0.0
AMOYA,1536,0.0
AMOYA,2305,0.0
AMOYA,2306,0.0
AMOYA,2307,0.0
AMOYA,2308,0.0
AMOYA,2309,0.0
AMOYA,2310,0.0
AMOYA,2311,0.0
AMOYA,2312,0.0
AMOYA,2313,0.0
AMOYA,2314,0.0
AMOYA,2315,0.0
AMOYA,2316,0.0
AMOYA,2317,0.0
AMOYA,2318,0.0
AMOYA,2319,0.0
AMOYA,2320,0.0
AMOYA,2321,0.0
AMOYA,2322,0.0
AMOYA,2323,0.0
AMOYA,2324,0.0
AMOYA,2325,0.0
AMOYA,2326,0.0
AMOYA,2327,2.393737375774183e-07
AMOYA,2328,0.0
AMOYA,2329,0.0
AMOYA,2330,0.0
AMOYA,2331,0.0
AMOYA,2332,0.0
AMOYA,2333,0.0
AMOYA,2334,2.4358824154208827e-07
AMOYA,2335,0.0
AMOYA,2336,0.0
AMOYA,2337,0.0
AMOYA,2338,0.0
AMOYA,2339,0.0
AMOYA,2340,0.0
AMOYA,2341,0.0
AMOYA,2342,0.0
AMOYA,2343,0.0
AMOYA,2344,0.0
AMOYA,2345,0.0
AMOYA,2346,0.0
AMOYA,2347,0.0
AMOYA,2348,0.0
AMOYA,2349,0.0
AMOYA,2350,0.0
AMOYA,2351,0.0
AMOYA,2352,0.0
AMOYA,2353,0.0
AMOYA,2354,0.0
AMOYA,2355,0.0
AMOYA,2356,0.0
AMOYA,2357,0.0
AMOYA,2358,0.0
AMOYA,2359,0.0
AMOYA,2360,0.0
AMOYA,2361,0.0
AMOYA,2362,0.0
AMOYA,2363,0.0
AMOYA,2364,0.0
AMOYA,2365,0.0
AMOYA,2366,4.057993916978743e-08
AMOYA,2367,0.0
AMOYA,2368,0.0
AMOYA,2369,0.0
AMOYA,2370,0.0
AMOYA,2371,0.0
AMOYA,2372,0.0
AMOYA,2373,0.0
AMOYA,2374,0.0
AMOYA,2375,0.0
AMOYA,2376,0.0
AMOYA,2377,0.0
AMOYA,2378,0.0
AMOYA,2379,0.0
AMOYA,2380,0.0
AMOYA,2381,0.0
AMOYA,2382,0.0
AMOYA,2383,0.0
AMOYA,2384,0.0
AMOYA,2385,0.0
AMOYA,2386,0.0
AMOYA,2387,0.0
AMOYA,2388,0.0
AMOYA,2389,0.0
AMOYA,2390,0.0
AMOYA,2391,0.0
AMOYA,2392,0.0
AMOYA,2393,0.0
AMOYA,2394,0.0
AMOYA,2395,0.0
AMOYA,2396,0.0
AMOYA,2397,0.0
AMOYA,2398,0.0
AMOYA,2399,0.0
AMOYA,2400,2.0782431179420788e-07
AMOYA,2401,0.0
AMOYA,2402,0.0
AMOYA,2403,0.0
AMOYA,2404,0.0
