,Values_Code,Values_Name,Values_Type,Values_Disp,Values_RecType,Values_EnerSource,Values_OperStartdate,Values_State,Value
124,3DKZ,AGPE CDL LEONISA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-01-20,OPERACION,266.0
125,3DL2,AGPE SOL BEATRIZ ARANGO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-01-20,OPERACION,5.3
126,3DM3,AGPE ELIANA GARZON,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-01-27,OPERACION,5.8
127,3DP6,AGPE GT RED SONORA LOS ANDE,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-02-03,OPERACION,100.0
128,3DP8,AGPE IE SALAZAR Y HERRERA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-02-03,OPERACION,80.0
129,3DPN,AGPE DORICOLOR,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-02-06,OPERACION,240.0
130,3DQA,AGPE AVOFRUIT,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-02-10,OPERACION,100.0
131,3DQC,AGPE CLUB CAMPESTRE,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-02-10,OPERACION,75.0
132,3DSO,HELIOS I,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2022-03-03,OPERACION,16000.0
133,3DST,AGPE PCP,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-02-24,OPERACION,480.0
134,3DXJ,LAS VIOLETAS,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2022-03-30,OPERACION,945.0
135,3E1W,AGPE RELIANZ GALAPA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-03-24,OPERACION,840.0
136,3E2I,AGPE EL HUECO BELLEZA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-03-31,OPERACION,7.25
137,3E5O,AGPE EMPAQUETADURAS DARROW,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-04-14,OPERACION,96.0
138,3E6A,AGPE COLOMBIANA DE PET,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-04-21,OPERACION,100.0
139,3E6C,AGPE AURELIO LLANO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-04-21,OPERACION,3.0
140,3E7C,AUTOG CELSIA SOLAR LEVAPAN,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,RAD SOLAR,2022-06-11,OPERACION,4990.0
141,3E8U,AGPE CASA GERMAN ROMERO FRIERI,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-05-05,OPERACION,20.0
142,3E8W,AGPE GRANJA SANTA ROSA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-05-05,OPERACION,72.0
143,3E9G,AGPE ARISOL,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-05-12,OPERACION,144.0
144,3E9I,ZEUS,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2022-05-19,OPERACION,9900.0
145,3EAO,AGPE AGROINSUMOS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-05-19,OPERACION,100.0
146,3EBN,GR PARQUE SOLAR TUCANES,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2022-05-31,OPERACION,9900.0
147,3ECW,AGPE PANADERIA ZAPATOCA LA 43,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-05-26,OPERACION,20.0
148,3ED1,AUTOG GRAN COLOMBIA GOLD,HIDRAULICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,AGUA,2022-05-31,OPERACION,1000.0
149,3EDL,BOSQUES SOLARES DE LOS LLANOS 5,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2022-09-12,OPERACION,17900.0
150,3EEE,AGPE MEDICINA NUCLEAR,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-06-09,OPERACION,30.0
151,3EEI,AGPE SIMON GARCIA ORREGO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-06-09,OPERACION,1.12
152,3EFT,AGPE AUTOSERVICIO MANA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-06-09,OPERACION,35.0
153,3EFW,AGPE PLANTA BUGA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-06-09,OPERACION,100.0
154,3EFY,BOSQUES SOLARES DE LOS LLANOS 4,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2022-09-12,OPERACION,19900.0
155,3EG2,AGPE MARTINPLAST,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-06-09,OPERACION,100.0
156,3EGG,AGPE ALFREDO MARTINEZ,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-06-16,OPERACION,96.0
157,3EGI,AGPE ADIELA PALMA DE CADAVID,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-06-16,OPERACION,99.0
158,3EGK,AGPE CLINICA CLINALTEC,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-06-16,OPERACION,100.0
159,3EGM,AGPE GRAN AMERICAS FONTIBON 1,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-06-16,OPERACION,99.64
